"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"ID"
"44"	5	-3	1.6	9	"setosa"	44
"45"	5.1	-3	1.9	9	"setosa"	45
"46"	4.8	-3	1.4	9	"setosa"	46
"47"	5.1	-3	1.6	9	"setosa"	47
"48"	4.6	-3	1.4	9	"setosa"	48
"49"	5.3	-3	1.5	9	"setosa"	49
"50"	5	-3	1.4	9	"setosa"	50
"51"	7	-3	4.7	9	"versicolor"	51
"52"	6.4	-3	4.5	9	"versicolor"	52
"53"	6.9	-3	4.9	9	"versicolor"	53
"54"	5.5	-3	4	9	"versicolor"	54
"55"	6.5	-3	4.6	9	"versicolor"	55
"56"	5.7	-3	4.5	9	"versicolor"	56
"57"	6.3	-3	4.7	9	"versicolor"	57
"58"	4.9	-3	3.3	9	"versicolor"	58
"59"	6.6	-3	4.6	9	"versicolor"	59
"60"	5.2	-3	3.9	9	"versicolor"	60
"61"	5	-3	3.5	9	"versicolor"	61
"62"	5.9	-3	4.2	9	"versicolor"	62
"63"	6	-3	4	9	"versicolor"	63
"64"	6.1	-3	4.7	9	"versicolor"	64
"65"	5.6	-3	3.6	9	"versicolor"	65
"66"	6.7	-3	4.4	9	"versicolor"	66
"67"	5.6	-3	4.5	9	"versicolor"	67
"68"	5.8	-3	4.1	9	"versicolor"	68
"69"	6.2	-3	4.5	9	"versicolor"	69
"70"	5.6	-3	3.9	9	"versicolor"	70
"71"	5.9	-3	4.8	9	"versicolor"	71
"72"	6.1	-3	4	9	"versicolor"	72
"73"	6.3	-3	4.9	9	"versicolor"	73
"74"	6.1	-3	4.7	9	"versicolor"	74
"75"	6.4	-3	4.3	9	"versicolor"	75
"76"	6.6	-3	4.4	9	"versicolor"	76
"77"	6.8	-3	4.8	9	"versicolor"	77
"78"	6.7	-3	5	9	"versicolor"	78
"79"	6	-3	4.5	9	"versicolor"	79
"80"	5.7	-3	3.5	9	"versicolor"	80
"81"	5.5	-3	3.8	9	"versicolor"	81
"82"	5.5	-3	3.7	9	"versicolor"	82
"83"	5.8	-3	3.9	9	"versicolor"	83
"84"	6	-3	5.1	9	"versicolor"	84
"85"	5.4	-3	4.5	9	"versicolor"	85
"86"	6	-3	4.5	9	"versicolor"	86
"87"	6.7	-3	4.7	9	"versicolor"	87
"88"	6.3	-3	4.4	9	"versicolor"	88
"89"	5.6	-3	4.1	9	"versicolor"	89
"90"	5.5	-3	4	9	"versicolor"	90
"91"	5.5	-3	4.4	9	"versicolor"	91
"92"	6.1	-3	4.6	9	"versicolor"	92
"93"	5.8	-3	4	9	"versicolor"	93
"94"	5	-3	3.3	9	"versicolor"	94
"95"	5.6	-3	4.2	9	"versicolor"	95
"96"	5.7	-3	4.2	9	"versicolor"	96
"97"	5.7	-3	4.2	9	"versicolor"	97
"98"	6.2	-3	4.3	9	"versicolor"	98
"99"	5.1	-3	3	9	"versicolor"	99
"100"	5.7	-3	4.1	9	"versicolor"	100
"101"	6.3	-3	6	9	"virginica"	101
"102"	5.8	-3	5.1	9	"virginica"	102
"103"	7.1	-3	5.9	9	"virginica"	103
"104"	6.3	-3	5.6	9	"virginica"	104
"105"	6.5	-3	5.8	9	"virginica"	105
"106"	7.6	-3	6.6	9	"virginica"	106
"107"	4.9	-3	4.5	9	"virginica"	107
"108"	7.3	-3	6.3	9	"virginica"	108
"109"	6.7	-3	5.8	9	"virginica"	109
"110"	7.2	-3	6.1	9	"virginica"	110
"111"	6.5	-3	5.1	9	"virginica"	111
"112"	6.4	-3	5.3	9	"virginica"	112
"113"	6.8	-3	5.5	9	"virginica"	113
"114"	5.7	-3	5	9	"virginica"	114
"115"	5.8	-3	5.1	9	"virginica"	115
"116"	6.4	-3	5.3	9	"virginica"	116
"117"	6.5	-3	5.5	9	"virginica"	117
"118"	7.7	-3	6.7	9	"virginica"	118
"119"	7.7	-3	6.9	9	"virginica"	119
"120"	6	-3	5	9	"virginica"	120
"121"	6.9	-3	5.7	9	"virginica"	121
"122"	5.6	-3	4.9	9	"virginica"	122
"123"	7.7	-3	6.7	9	"virginica"	123
"124"	6.3	-3	4.9	9	"virginica"	124
"125"	6.7	-3	5.7	9	"virginica"	125
"126"	7.2	-3	6	9	"virginica"	126
"127"	6.2	-3	4.8	9	"virginica"	127
"128"	6.1	-3	4.9	9	"virginica"	128
"129"	6.4	-3	5.6	9	"virginica"	129
"130"	7.2	-3	5.8	9	"virginica"	130
"131"	7.4	-3	6.1	9	"virginica"	131
"132"	7.9	-3	6.4	9	"virginica"	132
"133"	6.4	-3	5.6	9	"virginica"	133
"134"	6.3	-3	5.1	9	"virginica"	134
"135"	6.1	-3	5.6	9	"virginica"	135
"136"	7.7	-3	6.1	9	"virginica"	136
"137"	6.3	-3	5.6	9	"virginica"	137
"138"	6.4	-3	5.5	9	"virginica"	138
"139"	6	-3	4.8	9	"virginica"	139
"140"	6.9	-3	5.4	9	"virginica"	140
"141"	6.7	-3	5.6	9	"virginica"	141
"142"	6.9	-3	5.1	9	"virginica"	142
"143"	5.8	-3	5.1	9	"virginica"	143
"144"	6.8	-3	5.9	9	"virginica"	144
"145"	6.7	-3	5.7	9	"virginica"	145
"146"	6.7	-3	5.2	9	"virginica"	146
"147"	6.3	-3	5	9	"virginica"	147
"148"	6.5	-3	5.2	9	"virginica"	148
"149"	6.2	-3	5.4	9	"virginica"	149
"150"	5.9	-3	5.1	9	"virginica"	150
"211"	5.4	-3	1.7	9	"setosa"	151
"221"	5.1	-3	1.5	9	"setosa"	152
"231"	4.6	-3	1	9	"setosa"	153
"241"	5.1	-3	1.7	9	"setosa"	154
"251"	4.8	-3	1.9	9	"setosa"	155
"261"	5	-3	1.6	9	"setosa"	156
"271"	5	-3	1.6	9	"setosa"	157
"281"	5.2	-3	1.5	9	"setosa"	158
"291"	5.2	-3	1.4	9	"setosa"	159
"301"	4.7	-3	1.6	9	"setosa"	160
"311"	4.8	-3	1.6	9	"setosa"	161
"321"	5.4	-3	1.5	9	"setosa"	162
"331"	5.2	-3	1.5	9	"setosa"	163
"341"	5.5	-3	1.4	9	"setosa"	164
"351"	4.9	-3	1.5	9	"setosa"	165
"361"	5	-3	1.2	9	"setosa"	166
"371"	5.5	-3	1.3	9	"setosa"	167
"381"	4.9	-3	1.4	9	"setosa"	168
"391"	4.4	-3	1.3	9	"setosa"	169
"401"	5.1	-3	1.5	9	"setosa"	170
