"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"	"ID"
"128"	6.1	3	4.9	1.8	"virginica"	128
"129"	6.4	2.8	5.6	2.1	"virginica"	129
"130"	7.2	3	5.8	1.6	"virginica"	130
"131"	7.4	2.8	6.1	1.9	"virginica"	131
"132"	7.9	3.8	6.4	2	"virginica"	132
"133"	6.4	2.8	5.6	2.2	"virginica"	133
"134"	6.3	2.8	5.1	1.5	"virginica"	134
"135"	6.1	2.6	5.6	1.4	"virginica"	135
"136"	7.7	3	6.1	2.3	"virginica"	136
"137"	6.3	3.4	5.6	2.4	"virginica"	137
"138"	6.4	3.1	5.5	1.8	"virginica"	138
"139"	6	3	4.8	1.8	"virginica"	139
"140"	6.9	3.1	5.4	2.1	"virginica"	140
"141"	6.7	3.1	5.6	2.4	"virginica"	141
"142"	6.9	3.1	5.1	2.3	"virginica"	142
"143"	5.8	2.7	5.1	1.9	"virginica"	143
"144"	6.8	3.2	5.9	2.3	"virginica"	144
"145"	6.7	3.3	5.7	2.5	"virginica"	145
"146"	6.7	3	5.2	2.3	"virginica"	146
"147"	6.3	2.5	5	1.9	"virginica"	147
"148"	6.5	3	5.2	2	"virginica"	148
"149"	6.2	3.4	5.4	2.3	"virginica"	149
"150"	5.9	3	5.1	1.8	"virginica"	150
"151"	5.1	3.5	1.4	0.2	"setosa"	151
"152"	4.9	3	1.4	0.2	"setosa"	152
"153"	4.7	3.2	1.3	0.2	"setosa"	153
"154"	4.6	3.1	1.5	0.2	"setosa"	154
"155"	5	3.6	1.4	0.2	"setosa"	155
"156"	5.4	3.9	1.7	0.4	"setosa"	156
"157"	4.6	3.4	1.4	0.3	"setosa"	157
"158"	5	3.4	1.5	0.2	"setosa"	158
"159"	4.4	2.9	1.4	0.2	"setosa"	159
"160"	4.9	3.1	1.5	0.1	"setosa"	160
"161"	5.4	3.7	1.5	0.2	"setosa"	161
"162"	4.8	3.4	1.6	0.2	"setosa"	162
"163"	4.8	3	1.4	0.1	"setosa"	163
"164"	4.3	3	1.1	0.1	"setosa"	164
"165"	5.8	4	1.2	0.2	"setosa"	165
"166"	5.7	4.4	1.5	0.4	"setosa"	166
"167"	5.4	3.9	1.3	0.4	"setosa"	167
"168"	5.1	3.5	1.4	0.3	"setosa"	168
"169"	5.7	3.8	1.7	0.3	"setosa"	169
"170"	5.1	3.8	1.5	0.3	"setosa"	170
